LABEL_PERSON,LABEL_GPE,LABEL_NORP,LABEL_ORG,LABEL_EVENT,POS_ADJ,POS_ADV,POS_INTJ,POS_NOUN,POS_PROPN,POS_VERB,POS_ADP,POS_AUX,POS_CONJ,POS_DET,POS_NUM,POS_PART,POS_PRON,POS_SCONJ,EMOTION_anger,EMOTION_anticipation,EMOTION_disgust,EMOTION_fear,EMOTION_joy,SENTIMENT_negative,SENTIMENT_positive,EMOTION_sadness,EMOTION_surprise,EMOTION_trust,ATTRIB_avg_sentence_length,ATTRIB_avg_word_length,ATTRIB_length_of_tweet,ATTRIB_number_of_capital_letters,ATTRIB_number_of_emojis,ATTRIB_number_of_exclamation_marks,ATTRIB_number_of_hashtags,ATTRIB_number_of_periods,ATTRIB_number_of_question_marks,ATTRIB_number_of_sentences,ATTRIB_number_of_special_characters,ATTRIB_number_of_uppercase_words,ATTRIB_number_of_user_mentions,ATTRIB_number_of_words,TWEET_days_since_tweet_creation,TWEET_retweet_count,TWEET_favorite_count,TWEET_verified,TWEET_followers_count,TWEET_friends_count,TWEET_listed_count,TWEET_favourites_count,TWEET_statuses_count,TWEET_days_since_account_creation,TWEET_url_length,MALICIOUS
0,0,0,1,0,0,0,0,0,6,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,10,131,11,0,0,0,2,0,2,13,1,3,12,36,0,0,FALSE,40,59,0,83,400,125,24,1
0,0,0,0,0,0,1,0,2,6,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,49,6.533333333,112,11,1,0,2,2,0,2,10,0,0,15,30,17,34,TRUE,827747,22,1814,2,117186,4374,24,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,4,127,9.071428571,141,13,0,0,8,2,0,1,20,0,2,14,31,0,0,FALSE,241,485,6,624,1912,1833,20,1
0,0,0,0,0,1,0,0,3,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,61.5,8.2,138,32,0,0,3,2,1,2,15,0,0,15,28,0,1,FALSE,36,29,0,132,122,562,20,1
0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,4,2,0,5,120,8.571428571,134,11,0,0,5,2,0,1,16,0,1,14,27,0,1,FALSE,245,485,6,624,1946,1833,20,1
0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,12.3,133,11,0,1,2,3,0,2,21,0,0,10,26,0,1,FALSE,1,86,0,20,20,184,20,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,3,2,1,2,127,9.769230769,140,9,0,0,8,2,0,1,19,0,1,13,20,0,0,FALSE,247,480,6,625,1981,1833,20,1
0,0,0,0,0,1,2,0,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,63.5,7.9375,142,13,0,0,3,2,1,2,15,0,0,16,18,0,1,FALSE,1,100,0,39,100,185,20,1
0,0,0,0,0,1,0,0,2,2,2,3,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,101,7.769230769,113,9,0,0,2,1,0,1,7,0,0,13,38,20,29,FALSE,478773,261,778,3609,342007,3738,21,1
0,0,0,0,0,1,0,0,2,2,2,3,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,101,7.769230769,113,11,0,0,2,1,0,1,7,0,0,13,38,0,0,FALSE,4352,225,38,497,40013,2853,21,1
